fish_id,country
2740,Thailand
2741,Thailand
2742,Thailand
83,Thailand
215,Thailand
2743,Thailand
2744,Thailand
2745,Thailand
2746,Thailand
2747,Thailand
2748,Thailand
2749,Thailand
2750,Thailand
2751,Thailand
2752,Thailand
2753,Thailand
2754,Thailand
2755,Thailand
2756,Thailand
1481,Thailand
2105,Thailand
1889,Thailand
2757,Thailand
2758,Thailand
2099,Thailand
2759,Thailand
2760,Thailand
2761,Thailand
2762,Thailand
2763,Thailand
2764,Thailand
1550,Thailand
1514,Thailand
2765,Thailand
2766,Thailand
1556,Thailand
2081,Thailand
845,Thailand
212,Thailand
642,Thailand
1019,Thailand
1228,Thailand
2767,Thailand
832,Thailand
1024,Thailand
240,Thailand
349,Thailand
1808,Thailand
1371,Thailand
2768,Thailand
75,Thailand
347,Thailand
2769,Thailand
2770,Thailand
114,Thailand
2771,Thailand
2772,Thailand
1709,Thailand
2773,Thailand
2774,Thailand
1262,Thailand
2775,Thailand
1020,Thailand
2776,Thailand
369,Thailand
622,Thailand
2777,Thailand
1139,Thailand
1212,Thailand
2778,Thailand
893,Thailand
2179,Thailand
877,Thailand
2779,Thailand
2780,Thailand
2781,Thailand
2782,Thailand
2783,Thailand
703,Thailand
2784,Thailand
2785,Thailand
2786,Thailand
2787,Thailand
2788,Thailand
2789,Thailand
1602,Thailand
1068,Thailand
2790,Thailand
538,Thailand
2791,Thailand
2792,Thailand
1885,Thailand
2793,Thailand
889,Thailand
1725,Thailand
878,Thailand
2794,Thailand
1435,Thailand
863,Thailand
829,Thailand
1467,Thailand
1934,Thailand
2795,Thailand
983,Thailand
150,Thailand
2796,Thailand
1478,Thailand
2797,Thailand
2798,Thailand
2799,Thailand
2800,Thailand
2801,Thailand
2802,Thailand
2803,Thailand
283,Thailand
162,Thailand
2804,Thailand
1503,Thailand
2805,Thailand
2806,Thailand
1470,Thailand
1509,Thailand
70,Thailand
71,Thailand
2807,Thailand
2808,Thailand
710,Thailand
2809,Thailand
677,Thailand
164,Thailand
601,Thailand
1654,Thailand
2019,Thailand
2810,Thailand
674,Thailand
1747,Thailand
1261,Thailand
2811,Thailand
1021,Thailand
897,Thailand
1295,Thailand
2812,Thailand
1922,Thailand
2813,Thailand
1551,Thailand
321,Thailand
1141,Thailand
1266,Thailand
1536,Thailand
432,Thailand
2814,Thailand
2815,Thailand
2816,Thailand
1996,Thailand
2817,Thailand
2818,Thailand
760,Thailand
2819,Thailand
1531,Thailand
2820,Thailand
2821,Thailand
919,Thailand
2822,Thailand
2823,Thailand
2824,Thailand
2825,Thailand
2826,Thailand
1107,Thailand
1296,Thailand
2827,Thailand
1642,Thailand
2828,Thailand
356,Thailand
2087,Thailand
917,Thailand
1165,Thailand
2084,Thailand
2829,Thailand
1463,Thailand
1547,Thailand
1611,Thailand
2830,Thailand
1063,Thailand
247,Thailand
354,Thailand
1155,Thailand
1599,Thailand
1510,Thailand
1475,Thailand
1617,Thailand
2831,Thailand
2832,Thailand
1879,Thailand
2833,Thailand
2834,Thailand
2835,Thailand
2836,Thailand
2837,Thailand
2838,Thailand
2839,Thailand
2840,Thailand
874,Thailand
1842,Thailand
1092,Thailand
2841,Thailand
2842,Thailand
2843,Thailand
2844,Thailand
1025,Thailand
2845,Thailand
795,Thailand
771,Thailand
265,Thailand
2846,Thailand
2847,Thailand
2848,Thailand
2849,Thailand
1962,Thailand
1049,Thailand
2850,Thailand
1387,Thailand
2851,Thailand
2852,Thailand
2853,Thailand
2854,Thailand
1145,Thailand
2855,Thailand
2856,Thailand
2857,Thailand
2858,Thailand
2859,Thailand
2860,Thailand
2861,Thailand
918,Thailand
2862,Thailand
2863,Thailand
2864,Thailand
2865,Thailand
2866,Thailand
2867,Thailand
2868,Thailand
2869,Thailand
719,Thailand
2870,Thailand
2871,Thailand
2872,Thailand
2873,Thailand
1132,Thailand
18,Thailand
1121,Thailand
2874,Thailand
1258,Thailand
350,Thailand
2875,Thailand
1572,Thailand
2876,Thailand
1569,Thailand
2877,Thailand
2878,Thailand
1886,Thailand
1606,Thailand
2879,Thailand
2880,Thailand
2881,Thailand
2882,Thailand
511,Thailand
169,Thailand
2883,Thailand
2884,Thailand
2885,Thailand
982,Thailand
371,Thailand
1176,Thailand
2886,Thailand
2887,Thailand
2888,Thailand
2889,Thailand
2890,Thailand
2891,Thailand
2892,Thailand
2893,Thailand
2894,Thailand
2895,Thailand
2896,Thailand
2897,Thailand
2898,Thailand
2899,Thailand
2900,Thailand
2901,Thailand
2902,Thailand
2903,Thailand
1843,Thailand
563,Thailand
2904,Thailand
2905,Thailand
2906,Thailand
2907,Thailand
2908,Thailand
2909,Thailand
1459,Thailand
2910,Thailand
2911,Thailand
2912,Thailand
2913,Thailand
2914,Thailand
2915,Thailand
2916,Thailand
1790,Thailand
716,Thailand
2917,Thailand
2918,Thailand
2919,Thailand
2920,Thailand
2921,Thailand
1819,Thailand
2922,Thailand
2089,Thailand
2923,Thailand
2924,Thailand
1488,Thailand
2925,Thailand
2926,Thailand
2927,Thailand
2928,Thailand
2929,Thailand
2930,Thailand
2931,Thailand
1658,Thailand
1938,Thailand
2932,Thailand
2933,Thailand
2934,Thailand
2935,Thailand
2936,Thailand
2937,Thailand
2938,Thailand
2939,Thailand
2940,Thailand
891,Thailand
2061,Thailand
1217,Thailand
1437,Thailand
1396,Thailand
2941,Thailand
2942,Thailand
2943,Thailand
2090,Thailand
2944,Thailand
2945,Thailand
2946,Thailand
2947,Thailand
68,Thailand
1372,Thailand
1613,Thailand
2948,Thailand
2108,Thailand
2949,Thailand
2950,Thailand
2951,Thailand
2952,Thailand
2953,Thailand
788,Thailand
2954,Thailand
2955,Thailand
2956,Thailand
2957,Thailand
1680,Thailand
2958,Thailand
1624,Thailand
1534,Thailand
2959,Thailand
2960,Thailand
564,Thailand
2961,Thailand
1127,Thailand
220,Thailand
660,Thailand
2962,Thailand
2963,Thailand
2964,Thailand
2965,Thailand
2966,Thailand
2967,Thailand
2968,Thailand
2969,Thailand
2970,Thailand
79,Thailand
2971,Thailand
892,Thailand
2972,Thailand
1549,Thailand
1601,Thailand
1600,Thailand
1628,Thailand
2973,Thailand
1064,Thailand
2974,Thailand
2975,Thailand
1013,Thailand
626,Thailand
849,Thailand
1196,Thailand
1058,Thailand
2976,Thailand
2977,Thailand
2978,Thailand
2979,Thailand
2980,Thailand
803,Thailand
1716,Thailand
2981,Thailand
2982,Thailand
2983,Thailand
2984,Thailand
2985,Thailand
2986,Thailand
1310,Thailand
2987,Thailand
2988,Thailand
2989,Thailand
2990,Thailand
2991,Thailand
2992,Thailand
2993,Thailand
1651,Thailand
1287,Thailand
2994,Thailand
2995,Thailand
2996,Thailand
2997,Thailand
2998,Thailand
1688,Thailand
2999,Thailand
157,Thailand
3000,Thailand
1936,Thailand
1897,Thailand
3001,Thailand
3002,Thailand
3003,Thailand
3004,Thailand
3005,Thailand
3006,Thailand
1360,Thailand
1401,Thailand
3007,Thailand
1952,Thailand
3008,Thailand
3009,Thailand
422,Thailand
3010,Thailand
3011,Thailand
1809,Thailand
3012,Thailand
3013,Thailand
3014,Thailand
3015,Thailand
3016,Thailand
3017,Thailand
3018,Thailand
3019,Thailand
1840,Thailand
1690,Thailand
3020,Thailand
3021,Thailand
443,Thailand
3022,Thailand
1594,Thailand
611,Thailand
3023,Thailand
3024,Thailand
3025,Thailand
3026,Thailand
3027,Thailand
3028,Thailand
3029,Thailand
3030,Thailand
3031,Thailand
3032,Thailand
1230,Thailand
1149,Thailand
3033,Thailand
1681,Thailand
3034,Thailand
1355,Thailand
468,Thailand
954,Thailand
549,Thailand
156,Thailand
3035,Thailand
3036,Thailand
1710,Thailand
3037,Thailand
3038,Thailand
3039,Thailand
3040,Thailand
3041,Thailand
3042,Thailand
1674,Thailand
3043,Thailand
408,Thailand
3044,Thailand
3045,Thailand
3046,Thailand
1181,Thailand
3047,Thailand
