date,common_name,latitude,longitude,country,image,Year,Month
2018-10-19,Iridescent Shark,13.1778806231,104.0978259093,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,10
2018-09-27,Iridescent Shark,10.4037303891,99.0663802886,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,9
2018-09-27,Red-Finned Cigar Shark,10.4016555476,99.1089870036,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/132061656/medium.jpeg,2018,9
2018-09-19,Shark Catfish,13.7451230025,100.4891471096,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/30360875/medium.jpeg,2018,9
2018-09-13,White-Eyed Moray,10.1243061,99.8149111,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,9
2018-09-12,White-Eyed Moray,10.1163489,99.8119139,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,9
2018-09-10,White-Eyed Moray,10.1163489,99.8119139,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,9
2018-09-10,Laced Moray,8.0865515902,98.2912097218,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2018,9
2018-08-30,Iridescent Shark,14.8218124162,100.4224407873,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,8
2018-08-13,Iridescent Shark,14.9109532038,100.5923139711,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,8
2018-07-28,Shark Catfish,14.35858138,100.54372638,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/30360875/medium.jpeg,2018,7
2018-07-15,Shark Catfish,13.899497,100.542644,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/30360875/medium.jpeg,2018,7
2018-07-02,Shark Catfish,18.8503679383,98.8543377278,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/30360875/medium.jpeg,2018,7
2018-06-26,Iridescent Shark,13.7950915921,100.5600926286,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,6
2018-06-12,Giant Moray,5.7887874175,102.9013129107,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,6
2018-06-01,Iridescent Shark,13.6499765532,100.5309579793,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,6
2018-05-14,Fimbriated Moray,5.796016,102.8960712,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/108488683/medium.jpg,2018,5
2018-04-20,Common Moray,7.3424219927,98.806153975,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg,2018,4
2018-04-18,White-Eyed Moray,10.1134442415,99.8033851013,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,4
2018-04-04,Laced Moray,7.7292876357,98.7835247904,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2018,4
2018-03-25,Yellowmargin Moray,7.6186000626,98.7768554315,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/5795146/medium.jpg,2018,3
2018-03-09,Giant Moray,8.6578626,97.6466734,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,3
2018-03-01,Snowflake Moray,7.6511013749,98.3539998159,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2018,3
2018-03-01,Giant Moray,7.6038376451,98.3663523942,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,3
2018-02-28,Zebra Moray,7.7811977,98.3117041,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/73521761/medium.jpg,2018,2
2018-02-27,Snowflake Moray,7.7811977,98.3117041,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2018,2
2018-02-22,Giant Moray,7.7463824859,98.3776867168,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,2
2018-02-20,Laced Moray,12.572882535,101.8948741257,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2018,2
2018-02-12,Laced Moray,9.7368141,98.4019754,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2018,2
2018-02-06,Giant Moray,8.235254575,98.6052302644,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,2
2018-02-05,White-Eyed Moray,7.7672205373,98.3050844725,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,2
2018-02-04,Snowflake Moray,7.7672205373,98.3050844725,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2018,2
2018-02-03,White-Eyed Moray,7.7672550861,98.3050576504,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,2
2018-02-03,Snowflake Moray,7.6270517846,98.7555395812,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2018,2
2018-02-02,Common Moray,7.6733658717,98.7737487887,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg,2018,2
2018-01-30,Iridescent Shark,13.6155784278,100.4722297628,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,1
2018-01-26,Common Moray,7.3031604232,99.2589240337,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/34935/medium.jpg,2018,1
2018-01-26,White-Eyed Moray,7.822155,98.7909516667,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2018,1
2018-01-25,Giant Moray,7.6001650734,98.7683317065,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,1
2018-01-25,Sharksucker,7.6047731472,98.7865422294,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2018,1
2018-01-22,Iridescent Shark,13.3705009525,101.0845081887,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2018,1
2018-01-20,Giant Moray,7.6052843887,98.3672967376,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2018,1
