country,common_name,total_observations
Indonesia,"Reef Stonefish",132
Indonesia,"Betta Fish",132
Indonesia,"Two-Spot Red Snapper",131
Indonesia,"Philippine Chromi",131
Indonesia,"Wire Coral Goby",130
Indonesia,"False Scorpionfish",130
Indonesia,"Yellowfin Parrotfish",129
Indonesia,"Elegant Rasbora",129
Indonesia,"Twospot Snapper",129
Indonesia,"Redfin Anthia",128
Indonesia,"Longfin Emperor",128
Indonesia,"Black-Axil Chromi",127
Indonesia,"Fiveline Cardinalfish",127
Indonesia,"Blueside Wrasse",127
Indonesia,"Arc-Eye Hawkfish",126
Indonesia,"Peacock Razorfish",126
Indonesia,"Striped Boxfish",124
Indonesia,"Tinfoil Barb",123
Indonesia,"Pastel-Green Wrasse",123
Indonesia,Acanthurus,122
Indonesia,"Namiye'S Combtooth Blenny",122
Indonesia,"Black-Finned Snake Eel",122
Indonesia,"Surgeonfishs, Tangs, And Unicornfish",122
Indonesia,"Bicolor Blenny",121
Indonesia,"Yellow Chromi",121
Indonesia,"Longjaw Mackerel",121
Indonesia,Ostorhinchus,121
Indonesia,"Common Moray",121
Indonesia,"Denise'S Pygmy Seahorse",120
Indonesia,"Peacock River Stingray",120
Indonesia,"Bristle-Tail Leatherjacket",119
Indonesia,"Ambon Scorpionfish",119
Indonesia,"Blue Blanquillo",119
Indonesia,"Green Spotted Puffer",118
Indonesia,"Blackfin Barracuda",118
Indonesia,Ghostgobie,118
Indonesia,"Spotted Shrimpgoby",118
Indonesia,"One-Stripe Fusilier",118
Indonesia,"Cockatoo Waspfish",117
Indonesia,"Redmargin Shrimpgoby",117
Indonesia,"Soldier Fish",116
Indonesia,"Dusky-Gilled Mudskipper",116
Indonesia,"Green Chromide",116
Indonesia,"Asian Snakehead",115
Indonesia,"Walking Catfish",115
Indonesia,"Spinner Dolphin",115
Indonesia,"Cloud Wrasse",115
Indonesia,"Schroeder'S Rainbow Wrasse",115
Indonesia,Cheilodipterus,114
Indonesia,"Orangeline Wrasse",114
Indonesia,Scarus,114
Indonesia,"Pygmy Halfbeak",113
Indonesia,"Steephead Parrotfish",113
Indonesia,"Typical Carp",113
Indonesia,"Yellowstripe Goatfish",113
Indonesia,"Yellowtail Fangblenny",113
Indonesia,"Talbot'S Demoiselle",113
Indonesia,"Honeyhead Damsel",112
Indonesia,"Purple Queenfish",112
Indonesia,"Bicolor Cleaner Wrasse",112
Indonesia,"Yellowfin Goatfish",112
Indonesia,"Zebra Tilapia",112
Indonesia,"Ornate Sandgoby",111
Indonesia,"Jewelled Blenny",111
Indonesia,Frogfish,111
Indonesia,"Shorthead Sabretooth Blenny",110
Indonesia,"Blackspot Snapper",110
Indonesia,"Schooling Bannerfish",110
Indonesia,"Longnose Emperor",110
Indonesia,Parapercis,110
Indonesia,"Surf Parrotfish",109
Indonesia,"Neon Pygmy-Goby",109
Indonesia,"Blackfin Sandperch",108
Indonesia,"Sixline Wrasse",108
Indonesia,"Thousand-Spot Grubfish",108
Indonesia,"Black-And-White Snapper",108
Indonesia,"Javanese Ricefish",108
Indonesia,"Blue-Eye Cardinalfish",108
Indonesia,"Whale Shark",108
Indonesia,Dwarfgobie,107
Indonesia,"Whitetip Soldierfish",107
Indonesia,"Ruddy Fusilier",106
Indonesia,"Peacock Sole",106
Indonesia,Oscar,106
Indonesia,"Hard-Lipped Barb",105
Indonesia,Barbodes,105
Indonesia,"Gorgeous Shrimpgoby",104
Indonesia,"Shoulderspot Goby",104
Indonesia,Mandarinfish,103
Indonesia,"Laced Moray",103
Indonesia,"Chiseltooth Wrasse",103
Indonesia,"Eclipse Butterflyfish",102
Indonesia,"Striped Sweetlip",102
Indonesia,"Broad-Banded Shrimpgoby",102
Indonesia,"Blackbanded Damsel",102
Indonesia,"White-Spotted Eagle Ray",102
Indonesia,"Indonesian Speckled Carpetshark",101
Indonesia,"Rainbow Monocle Bream",101
Indonesia,"Charcoal Damsel",101
Indonesia,"Fanbelly Leatherjacket",100
Indonesia,"Typical Flathead",100
Indonesia,"Whitemouth Moray",100
Indonesia,Anemonefish,100
Indonesia,"Cantor'S Gudgeon",99
Indonesia,"Grey Damsel",99
Indonesia,"Whitepatch Damsel",99
Indonesia,"Black Triggerfish",99
Indonesia,"Darkcap Parrotfish",99
Indonesia,"Spanish Flag Snapper",98
Indonesia,"Greensnout Parrotfish",98
Indonesia,"Green Swordtail",98
Indonesia,"Tiger Tail Seahorse",97
Indonesia,"Nakedhead Shrimpgoby",97
Indonesia,"Three-Ribbon Wrasse",96
Indonesia,"Pajama Cardinalfish",96
Indonesia,"Lined Butterflyfish",96
Indonesia,"Ornate Leopard Wrasse",96
Indonesia,"Yellowbarred Jawfish",96
Indonesia,"Forest Halfbeak",96
Indonesia,"Striped Eviota",95
