common_name,country,total_observations
"Black Sea Bas",Indonesia,1
"Black Sharkminnow",Indonesia,17
"Black Sharkminnow",Thailand,15
"Black Snakehead",Indonesia,23
"Black Snakehead",Thailand,6
"Black Snoek",Thailand,1
"Black Spine-Cheek Gudgeon",Indonesia,3
"Black Stingray",Indonesia,2
"Black Stingray",Philippines,1
"Black Trevally",Indonesia,10
"Black Triggerfish",Indonesia,99
"Black Triggerfish",Philippines,1
"Black Triggerfish",Thailand,1
"Black Velvet Angelfish",Philippines,18
"Black Velvet Angelfish",Indonesia,10
"Black Widow Tetra",Indonesia,44
"Black Widow Tetra",Thailand,5
"Black Widow Tetra",Philippines,2
"Black Wolffish",Indonesia,1
"Black-And-White Snapper",Indonesia,108
"Black-And-White Snapper",Philippines,8
"Black-And-White Snapper",Thailand,7
"Black-Axil Chromi",Indonesia,127
"Black-Axil Chromi",Philippines,30
"Black-Axil Chromi",Thailand,19
"Black-Backed Needlefish",Philippines,5
"Black-Backed Needlefish",Indonesia,3
