common_name,country
"Bearded Brotula",indonesia
"Helcogramma Ellioti",indonesia
"Pacific Doublestriped Clingfish",indonesia
"Northern Toadfish",indonesia
Seamoth,indonesia
"Cheekspot Scorpionfish",indonesia
"Pectenocypris Rubra",indonesia
"Fang'S Dwarfgoby",indonesia
"Wedgespot Damsel",indonesia
"Blue-Spotted Snakehead",indonesia
"Ocellated Snakehead",indonesia
"Shoulderspot Sandgoby",indonesia
"Whitespotted Combtooth Blenny",indonesia
"Shirley'S Coralblenny",indonesia
"Old Glory",indonesia
"Spotfin Burrfish",indonesia
"Bump-Head Mola",indonesia
"Hutomo'S Anthia",indonesia
"Elongate Dottyback",indonesia
"Cheekstreak Goby",indonesia
"Grey Damsel",indonesia
"Plain Dottyback",indonesia
"Southern Wrasse",indonesia
"Green Tiger Loach",indonesia
"Steene'S Dottyback",indonesia
"Bath'S Blenny",indonesia
Tubelip,indonesia
"Randall'S Triplefin",indonesia
"Yellowspotted Dottyback",indonesia
"Solor Wrasse",indonesia
"Komodo Whiptail",indonesia
"Yellowfin Flasher Wrasse",indonesia
"Blackblotch Emperor",indonesia
"Javan Wrasse",indonesia
Chaetodontoplus,indonesia
"Eviota Algida",indonesia
"Greytail Angelfish",indonesia
"Yellowfin Fairy Wrasse",indonesia
"Pearl-Scaled X Blacktail Hybrid Angelfish",indonesia
"Twospot Sandperch",indonesia
"Twospot Pigfish",indonesia
"Ruby-Headed Fairy Wrasse",indonesia
"Royal Dottyback",indonesia
"Fan Shrimpgoby",indonesia
"Encheloclarias Velatus",indonesia
"Ornate Leopard Wrasse",indonesia
"Sponge Frillgoby",indonesia
"Redspot Dartfish",indonesia
"Offshore Cardinalfish",indonesia
"Goldlined Rabbitfish",indonesia
"Pangasius Polyuranodon",indonesia
"Bladefin Catfish",indonesia
"Ibanorum Betta",indonesia
"Big-Eye Conger",indonesia
"Shortfin Pufferfish",indonesia
"Simple-Spined Dragonet",indonesia
"Rubble Eviota",indonesia
"Samoan Pipefish",indonesia
"Honshu Pipefish",indonesia
Pseudomonacanthus,indonesia
Apogonichthys,indonesia
"Filamentous Scorpionfish",indonesia
"Foa Landoni",indonesia
"Hawk Anthia",indonesia
"Interrupted Dartfish",indonesia
"Arrowhead Soapfish",indonesia
"Clown Blenny",indonesia
"Malay Combtail Gourami",indonesia
"Blacktip Soldierfish",indonesia
"Mottled Flying Gurnard",indonesia
"Miracle Threefin",indonesia
"Night Cardinalfish",indonesia
"Mimic Cardinalfish",indonesia
"Goldback Damsel",indonesia
"Azure Demoiselle",indonesia
"Raja Dottyback",indonesia
"Schroeder'S Combtooth Blenny",indonesia
"Blackbanded Snapper",indonesia
"Hampala Bimaculata",indonesia
"Elegant Rasbora",indonesia
"Clown Rasbora",indonesia
"Chocolate Gourami",indonesia
"Coral Croucher",indonesia
"Papuan Snapper",indonesia
"Redbarred Sandperch",indonesia
"New Guinean Anglerfish",indonesia
"African Cori",indonesia
"Red Parrotfish",indonesia
"Black Trevally",indonesia
"Saddled Bichir",indonesia
"Honey Gourami",indonesia
"Broad-Banded Pipefish",indonesia
"Christmas Dwarfgoby",indonesia
"Whitetongue Jack",indonesia
"Inshore Surgeonfish",indonesia
