scientific_name,common_name,image_url
Naso,Unicornfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/13189811/medium.jpg
Amphiprion frenatus,Tomato Clownfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70903366/medium.jpg
Scorpaenidae,Scorpionfishes,https://static.inaturalist.org/photos/29368079/medium.jpg
Canthigaster papua,Papuan Toby,https://inaturalist-open-data.s3.amazonaws.com/photos/15073070/medium.jpg
Antennarius pictus,Painted Frogfish,https://inaturalist-open-data.s3.amazonaws.com/photos/5890152/medium.jpg
Pseudanthias huchtii,Threadfin Anthias,https://static.inaturalist.org/photos/30310644/medium.jpg
Antennarius commerson,Giant Frogfish,https://static.inaturalist.org/photos/47089414/medium.jpg
Cryptocentrus nigrocellatus,Cryptocentrus nigrocellatus,https://static.inaturalist.org/photos/317588799/medium.jpg
Naso unicornis,Bluespine Unicornfish,https://inaturalist-open-data.s3.amazonaws.com/photos/233701070/medium.jpg
Mirolabrichthys tuka,Purple Queenfish,https://inaturalist-open-data.s3.amazonaws.com/photos/155051/medium.jpg
Scorpaenopsis diabolus,Devil Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/249499513/medium.jpg
Scorpaenopsis,Scorpionfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/8137485/medium.jpg
Gymnothorax thyrsoideus,White-eyed Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg
Amphiprion clarkii,Clark's Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/233182847/medium.jpg
Corythoichthys,Corythoichthys,https://inaturalist-open-data.s3.amazonaws.com/photos/70676923/medium.jpg
Discotrema monogrammum,Oneline Clingfish,https://inaturalist-open-data.s3.amazonaws.com/photos/264123562/medium.jpeg
Amphiprion sandaracinos,Orange Skunk Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/151157086/medium.jpg
Caranx sexfasciatus,Bigeye Trevally,https://inaturalist-open-data.s3.amazonaws.com/photos/471031925/medium.jpg
Amphiprion perideraion,Pink Skunk Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/70527563/medium.jpg
Amphiprion annamensis,Northern Saddleback Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/12453756/medium.jpg
Pterois volitans,Common Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/4675175/medium.jpg
Ferdauia orthogrammus,Island Jack,https://inaturalist-open-data.s3.amazonaws.com/photos/184626845/medium.jpg
Lutjaninae,Fusiliers,https://static.inaturalist.org/photos/17821956/medium.jpg
